epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,348.801,1.34938,0.77613,1.01091,0.93796,0.96241,0.93868,0.47988,1.50357,0.88302,0.97436,0.0011882,0.0011882,0.0011882
43,357.044,1.3363,0.77808,0.9924,0.94456,0.96992,0.95848,0.50954,1.45525,0.89928,0.96332,0.0011684,0.0011684,0.0011684
44,365.463,1.30385,0.76615,0.99695,0.93695,0.94737,0.94464,0.49061,1.53256,0.92725,0.98354,0.0011486,0.0011486,0.0011486
45,374.562,1.31407,0.75489,0.9942,0.94971,0.94737,0.94703,0.48999,1.50805,0.90665,0.98377,0.0011288,0.0011288,0.0011288
46,383.88,1.33172,0.75557,0.98863,0.9547,0.95074,0.94953,0.5145,1.48419,0.86559,0.98293,0.001109,0.001109,0.001109
47,392.377,1.36949,0.77435,1.02249,0.95886,0.95489,0.97782,0.48443,1.60154,0.8884,1.00412,0.0010892,0.0010892,0.0010892
48,400.533,1.35274,0.7813,1.01627,0.9329,0.9408,0.9572,0.49509,1.55111,0.91749,0.99568,0.0010694,0.0010694,0.0010694
49,408.791,1.28972,0.7834,1.00142,0.90419,0.95489,0.97115,0.52019,1.49149,0.90943,0.9844,0.0010496,0.0010496,0.0010496
50,417.044,1.29653,0.75604,0.98501,0.94846,0.96857,0.97952,0.52305,1.45452,0.88513,0.97811,0.0010298,0.0010298,0.0010298
51,425.354,1.3075,0.7439,0.99579,0.96522,0.97744,0.98287,0.5268,1.45527,0.86546,0.98395,0.00101,0.00101,0.00101
52,433.934,1.3135,0.76746,0.99524,0.95906,0.96241,0.97296,0.51136,1.49456,0.86211,0.98967,0.0009902,0.0009902,0.0009902
53,442.273,1.28919,0.74135,0.98069,0.93626,0.96992,0.97766,0.51779,1.47684,0.84705,0.98093,0.0009704,0.0009704,0.0009704
54,450.533,1.28987,0.73621,0.9861,0.91805,0.90977,0.97228,0.53399,1.41059,0.88443,0.96682,0.0009506,0.0009506,0.0009506
55,458.824,1.32881,0.73994,1.00269,0.93607,0.88072,0.96239,0.46724,1.62775,0.92723,1.01927,0.0009308,0.0009308,0.0009308
56,467.1,1.31168,0.74839,1.00601,0.9267,0.8555,0.93921,0.45892,1.64128,0.93497,1.01921,0.000911,0.000911,0.000911
57,475.416,1.27714,0.75158,0.98157,0.92013,0.86618,0.94589,0.49861,1.45926,0.91048,0.9611,0.0008912,0.0008912,0.0008912
58,483.687,1.31968,0.75828,0.99622,0.91112,0.84784,0.94887,0.49621,1.46314,0.91795,0.96001,0.0008714,0.0008714,0.0008714
59,491.916,1.2693,0.73482,0.98174,0.89586,0.9055,0.95001,0.50986,1.45835,0.89022,0.95071,0.0008516,0.0008516,0.0008516
60,497.443,1.23999,0.73066,0.98207,0.94932,0.84503,0.95652,0.50816,1.47242,0.84811,0.96056,0.0008318,0.0008318,0.0008318
61,502.098,1.25667,0.72198,0.98119,0.95454,0.84211,0.95924,0.51632,1.44304,0.84173,0.95579,0.000812,0.000812,0.000812
62,506.707,1.27658,0.71353,0.97439,0.87863,0.87088,0.93451,0.52285,1.42411,0.84006,0.95161,0.0007922,0.0007922,0.0007922
63,511.311,1.28863,0.71111,0.97025,0.86336,0.95489,0.95861,0.51939,1.47773,0.84029,0.96359,0.0007724,0.0007724,0.0007724
64,515.887,1.25722,0.71306,0.97229,0.93992,0.84211,0.94796,0.5192,1.48282,0.84359,0.96673,0.0007526,0.0007526,0.0007526
65,520.568,1.24654,0.71231,0.97022,0.8744,0.95489,0.95359,0.5257,1.48088,0.81339,0.95996,0.0007328,0.0007328,0.0007328
66,525.269,1.23152,0.71341,0.98122,0.90926,0.95489,0.95816,0.50867,1.50658,0.80085,0.96582,0.000713,0.000713,0.000713
67,530.029,1.20583,0.69917,0.97472,0.91355,0.95341,0.94081,0.51342,1.46343,0.81666,0.95684,0.0006932,0.0006932,0.0006932
68,534.811,1.26206,0.72192,0.99476,0.92268,0.96241,0.97235,0.52842,1.45434,0.83373,0.95725,0.0006734,0.0006734,0.0006734
69,539.613,1.23066,0.7048,0.97214,0.90321,0.95489,0.95917,0.5241,1.46127,0.81392,0.95745,0.0006536,0.0006536,0.0006536
70,544.402,1.23407,0.69554,0.9703,0.92698,0.95454,0.96766,0.49486,1.53077,0.81053,0.98056,0.0006338,0.0006338,0.0006338
71,549.374,1.23419,0.69492,0.97828,0.93888,0.95489,0.97115,0.48994,1.57595,0.8093,0.99819,0.000614,0.000614,0.000614
72,554.862,1.18168,0.68295,0.9638,0.91966,0.93985,0.96174,0.50152,1.533,0.80369,0.98683,0.0005942,0.0005942,0.0005942
73,560.026,1.2323,0.69228,0.95231,0.89967,0.96992,0.95463,0.52267,1.46559,0.80703,0.97083,0.0005744,0.0005744,0.0005744
74,565.16,1.18289,0.69911,0.96772,0.90033,0.95084,0.94094,0.53008,1.46377,0.78893,0.96928,0.0005546,0.0005546,0.0005546
75,570.508,1.22703,0.68554,0.95769,0.90727,0.96992,0.95848,0.5376,1.43569,0.80443,0.96347,0.0005348,0.0005348,0.0005348
76,576.132,1.2205,0.69182,0.96681,0.92107,0.96511,0.97438,0.54248,1.43614,0.80774,0.96702,0.000515,0.000515,0.000515
77,582.078,1.19665,0.67192,0.95679,0.913,0.95489,0.95165,0.53591,1.4515,0.80629,0.96917,0.0004952,0.0004952,0.0004952
78,588.354,1.16719,0.65519,0.94961,0.91408,0.95989,0.95428,0.52925,1.44758,0.79052,0.96953,0.0004754,0.0004754,0.0004754
79,594.984,1.19558,0.68306,0.97919,0.87617,0.95764,0.949,0.53837,1.41587,0.78251,0.96166,0.0004556,0.0004556,0.0004556
80,601.983,1.17656,0.66645,0.95205,0.87508,0.96241,0.94594,0.52863,1.42948,0.80145,0.96223,0.0004358,0.0004358,0.0004358
